Transit Days,units,% units,% cum units,,,,Location,Units,%Units,,,Location,Units,%Units
1,"358,251",14.3,14.3,,,,Indianapolis-IN,"2,511,125",100,,,Indianapolis-IN,2511125,100
2,"847,309",33.7,48,,,,,,,,,,,
3,"538,114",21.4,69.4,,,,Total,"2,511,125",100,,,Total,2511125,100
4,"187,116",7.5,76.9,,,,,,,,,,,
5,"65,436",2.6,79.5,,,,,,,,,,,
6,"96,199",3.8,83.3,,,,,,,,,,,
7,"418,700",16.7,100,,,,,,,,,,,
Total,"2,511,125",100,,,,,,,,,,,,
,,,,,,,,,,,,,,
Avg Wt Miles,989.66,,,,,,,,,,,,,
Zips Used,{46201},,,,,,,,,,,,,
City Names,{'Indianapolis-IN'},,,,,,,,,,,,,
UOM,units,,,,,,,,,,,,,
Channel,overall,,,,,,,,,,,,,
Speed,350 miles/day,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Transit Days,units,% units,% cum units,,,,Location,Units,%Units,,,Location,Units,%Units
1,"978,365",39,39,,,,Carlisle-PA,"1,681,371",66.96,,,Carlisle-PA,1681371,66.96
2,"679,054",27,66,,,,Las Vegas-NV,"829,754",33.04,,,Las Vegas-NV,829754,33.04
3,"444,911",17.7,83.7,,,,,,,,,,,
4,"372,733",14.8,98.6,,,,Total,"2,511,125",100,,,Total,2511125,100
5,"36,062",1.4,100,,,,,,,,,,,
Total,"2,511,125",100,,,,,,,,,,,,
,,,,,,,,,,,,,,
Avg Wt Miles,556.1,,,,,,,,,,,,,
Zips Used,"{89199, 17015}",,,,,,,,,,,,,
City Names,"{'Carlisle-PA', 'Las Vegas-NV'}",,,,,,,,,,,,,
UOM,units,,,,,,,,,,,,,
Channel,overall,,,,,,,,,,,,,
Speed,350 miles/day,,,,,,,,,,,,,
